Phase 2: ShieldingExactTwin — NaI(Tl) Photopeak Master Dataset
Total runs: 996  |  Histories/run: 10,000,000  |  Materials: 33
Peak integration: ±2.0σ  |  NaI resolution: FWHM = 2.06×√E_keV keV
RelErr = 1/√N (relative Poisson uncertainty)
============================================================================================================================================
Energy(keV)     | Material               | Thickness(mm)  | I0           | I            | I/I0          | RelErr(I0)     | RelErr(I)     
59.5            | Pb_30Wt                | 10             | 8271445      | 369783       | 0.044706      | 0.00034770     | 0.00164447    
59.5            | W_5Wt                  | 2              | 8271445      | 7340947      | 0.887505      | 0.00034770     | 0.00036908    
59.5            | W_5Wt                  | 4              | 8271445      | 6515581      | 0.787720      | 0.00034770     | 0.00039176    
59.5            | W_5Wt                  | 6              | 8271445      | 5785638      | 0.699471      | 0.00034770     | 0.00041574    
59.5            | W_5Wt                  | 8              | 8271445      | 5135658      | 0.620890      | 0.00034770     | 0.00044127    
59.5            | W_5Wt                  | 10             | 8271445      | 4558514      | 0.551115      | 0.00034770     | 0.00046837    
59.5            | W_10Wt                 | 2              | 8271445      | 6929358      | 0.837745      | 0.00034770     | 0.00037989    
59.5            | W_10Wt                 | 4              | 8271445      | 5807171      | 0.702075      | 0.00034770     | 0.00041497    
59.5            | W_10Wt                 | 6              | 8271445      | 4866556      | 0.588356      | 0.00034770     | 0.00045330    
59.5            | W_10Wt                 | 8              | 8271445      | 4077503      | 0.492961      | 0.00034770     | 0.00049523    
59.5            | W_10Wt                 | 10             | 8271445      | 3418055      | 0.413236      | 0.00034770     | 0.00054089    
59.5            | W_15Wt                 | 2              | 8271445      | 6501471      | 0.786014      | 0.00034770     | 0.00039219    
59.5            | W_15Wt                 | 4              | 8271445      | 5110692      | 0.617872      | 0.00034770     | 0.00044234    
59.5            | W_15Wt                 | 6              | 8271445      | 4018670      | 0.485849      | 0.00034770     | 0.00049884    
59.5            | W_15Wt                 | 8              | 8271445      | 3160086      | 0.382048      | 0.00034770     | 0.00056254    
59.5            | W_15Wt                 | 10             | 8271445      | 2484436      | 0.300363      | 0.00034770     | 0.00063443    
59.5            | W_20Wt                 | 2              | 8271445      | 6054018      | 0.731918      | 0.00034770     | 0.00040642    
59.5            | W_20Wt                 | 4              | 8271445      | 4432243      | 0.535849      | 0.00034770     | 0.00047499    
59.5            | W_20Wt                 | 6              | 8271445      | 3246836      | 0.392536      | 0.00034770     | 0.00055497    
59.5            | W_20Wt                 | 8              | 8271445      | 2377280      | 0.287408      | 0.00034770     | 0.00064857    
59.5            | W_20Wt                 | 10             | 8271445      | 1741545      | 0.210549      | 0.00034770     | 0.00075776    
59.5            | W_25Wt                 | 2              | 8271445      | 5589969      | 0.675815      | 0.00034770     | 0.00042296    
59.5            | W_25Wt                 | 4              | 8271445      | 3780582      | 0.457064      | 0.00034770     | 0.00051430    
59.5            | W_25Wt                 | 6              | 8271445      | 2556604      | 0.309088      | 0.00034770     | 0.00062541    
59.5            | W_25Wt                 | 8              | 8271445      | 1728979      | 0.209030      | 0.00034770     | 0.00076051    
59.5            | W_25Wt                 | 10             | 8271445      | 1168811      | 0.141307      | 0.00034770     | 0.00092497    
59.5            | W_30Wt                 | 2              | 8271445      | 5108903      | 0.617655      | 0.00034770     | 0.00044242    
59.5            | W_30Wt                 | 4              | 8271445      | 3157321      | 0.381713      | 0.00034770     | 0.00056278    
59.5            | W_30Wt                 | 6              | 8271445      | 1951886      | 0.235979      | 0.00034770     | 0.00071577    
59.5            | W_30Wt                 | 8              | 8271445      | 1205489      | 0.145741      | 0.00034770     | 0.00091079    
59.5            | W_30Wt                 | 10             | 8271445      | 744907       | 0.090058      | 0.00034770     | 0.00115864    
59.5            | BaSO4_5Wt              | 2              | 8271445      | 7196648      | 0.870059      | 0.00034770     | 0.00037276    
59.5            | BaSO4_5Wt              | 4              | 8271445      | 6263091      | 0.757194      | 0.00034770     | 0.00039958    
59.5            | BaSO4_5Wt              | 6              | 8271445      | 5451036      | 0.659019      | 0.00034770     | 0.00042831    
59.5            | BaSO4_5Wt              | 8              | 8271445      | 4742967      | 0.573415      | 0.00034770     | 0.00045917    
59.5            | BaSO4_5Wt              | 10             | 8271445      | 4127510      | 0.499007      | 0.00034770     | 0.00049222    
59.5            | BaSO4_10Wt             | 2              | 8271445      | 6659797      | 0.805155      | 0.00034770     | 0.00038750    
59.5            | BaSO4_10Wt             | 4              | 8271445      | 5362351      | 0.648297      | 0.00034770     | 0.00043184    
59.5            | BaSO4_10Wt             | 6              | 8271445      | 4319051      | 0.522164      | 0.00034770     | 0.00048118    
59.5            | BaSO4_10Wt             | 8              | 8271445      | 3479597      | 0.420676      | 0.00034770     | 0.00053609    
59.5            | BaSO4_10Wt             | 10             | 8271445      | 2801430      | 0.338687      | 0.00034770     | 0.00059746    
59.5            | BaSO4_15Wt             | 2              | 8271445      | 6123450      | 0.740312      | 0.00034770     | 0.00040411    
59.5            | BaSO4_15Wt             | 4              | 8271445      | 4534752      | 0.548242      | 0.00034770     | 0.00046959    
59.5            | BaSO4_15Wt             | 6              | 8271445      | 3359406      | 0.406145      | 0.00034770     | 0.00054559    
59.5            | BaSO4_15Wt             | 8              | 8271445      | 2487827      | 0.300773      | 0.00034770     | 0.00063400    
59.5            | BaSO4_15Wt             | 10             | 8271445      | 1843349      | 0.222857      | 0.00034770     | 0.00073654    
59.5            | BaSO4_20Wt             | 2              | 8271445      | 5593937      | 0.676295      | 0.00034770     | 0.00042281    
59.5            | BaSO4_20Wt             | 4              | 8271445      | 3785514      | 0.457661      | 0.00034770     | 0.00051397    
59.5            | BaSO4_20Wt             | 6              | 8271445      | 2561197      | 0.309643      | 0.00034770     | 0.00062485    
59.5            | BaSO4_20Wt             | 8              | 8271445      | 1732629      | 0.209471      | 0.00034770     | 0.00075971    
59.5            | BaSO4_20Wt             | 10             | 8271445      | 1172622      | 0.141767      | 0.00034770     | 0.00092347    
59.5            | BaSO4_25Wt             | 2              | 8271445      | 5071333      | 0.613113      | 0.00034770     | 0.00044406    
59.5            | BaSO4_25Wt             | 4              | 8271445      | 3110893      | 0.376100      | 0.00034770     | 0.00056697    
59.5            | BaSO4_25Wt             | 6              | 8271445      | 1908062      | 0.230681      | 0.00034770     | 0.00072394    
59.5            | BaSO4_25Wt             | 8              | 8271445      | 1170549      | 0.141517      | 0.00034770     | 0.00092428    
59.5            | BaSO4_25Wt             | 10             | 8271445      | 718195       | 0.086828      | 0.00034770     | 0.00117999    
59.5            | BaSO4_30Wt             | 2              | 8271445      | 4558177      | 0.551074      | 0.00034770     | 0.00046839    
59.5            | BaSO4_30Wt             | 4              | 8271445      | 2513077      | 0.303826      | 0.00034770     | 0.00063081    
59.5            | BaSO4_30Wt             | 6              | 8271445      | 1385643      | 0.167521      | 0.00034770     | 0.00084952    
59.5            | BaSO4_30Wt             | 8              | 8271445      | 763588       | 0.092316      | 0.00034770     | 0.00114438    
59.5            | BaSO4_30Wt             | 10             | 8271445      | 420713       | 0.050863      | 0.00034770     | 0.00154173    
59.5            | Bi2O3_5Wt              | 2              | 8271445      | 7235540      | 0.874761      | 0.00034770     | 0.00037176    
59.5            | Bi2O3_5Wt              | 4              | 8271445      | 6330727      | 0.765371      | 0.00034770     | 0.00039744    
59.5            | Bi2O3_5Wt              | 6              | 8271445      | 5540072      | 0.669783      | 0.00034770     | 0.00042486    
59.5            | Bi2O3_5Wt              | 8              | 8271445      | 4847358      | 0.586035      | 0.00034770     | 0.00045420    
59.5            | Bi2O3_5Wt              | 10             | 8271445      | 4240120      | 0.512621      | 0.00034770     | 0.00048564    
59.5            | Bi2O3_10Wt             | 2              | 8271445      | 6727585      | 0.813351      | 0.00034770     | 0.00038554    
59.5            | Bi2O3_10Wt             | 4              | 8271445      | 5473328      | 0.661714      | 0.00034770     | 0.00042744    
59.5            | Bi2O3_10Wt             | 6              | 8271445      | 4454104      | 0.538492      | 0.00034770     | 0.00047383    
59.5            | Bi2O3_10Wt             | 8              | 8271445      | 3623961      | 0.438129      | 0.00034770     | 0.00052530    
59.5            | Bi2O3_10Wt             | 10             | 8271445      | 2948861      | 0.356511      | 0.00034770     | 0.00058233    
59.5            | Bi2O3_15Wt             | 2              | 8271445      | 6212382      | 0.751064      | 0.00034770     | 0.00040121    
59.5            | Bi2O3_15Wt             | 4              | 8271445      | 4666331      | 0.564149      | 0.00034770     | 0.00046293    
59.5            | Bi2O3_15Wt             | 6              | 8271445      | 3506636      | 0.423945      | 0.00034770     | 0.00053402    
59.5            | Bi2O3_15Wt             | 8              | 8271445      | 2634389      | 0.318492      | 0.00034770     | 0.00061611    
59.5            | Bi2O3_15Wt             | 10             | 8271445      | 1979688      | 0.239340      | 0.00034770     | 0.00071073    
59.5            | Bi2O3_20Wt             | 2              | 8271445      | 5688148      | 0.687685      | 0.00034770     | 0.00041929    
59.5            | Bi2O3_20Wt             | 4              | 8271445      | 3912953      | 0.473068      | 0.00034770     | 0.00050553    
59.5            | Bi2O3_20Wt             | 6              | 8271445      | 2692534      | 0.325522      | 0.00034770     | 0.00060942    
59.5            | Bi2O3_20Wt             | 8              | 8271445      | 1852515      | 0.223965      | 0.00034770     | 0.00073472    
59.5            | Bi2O3_20Wt             | 10             | 8271445      | 1274021      | 0.154026      | 0.00034770     | 0.00088596    
59.5            | Bi2O3_25Wt             | 2              | 8271445      | 5159355      | 0.623755      | 0.00034770     | 0.00044025    
59.5            | Bi2O3_25Wt             | 4              | 8271445      | 3219842      | 0.389272      | 0.00034770     | 0.00055729    
59.5            | Bi2O3_25Wt             | 6              | 8271445      | 2010707      | 0.243090      | 0.00034770     | 0.00070522    
59.5            | Bi2O3_25Wt             | 8              | 8271445      | 1254088      | 0.151617      | 0.00034770     | 0.00089297    
59.5            | Bi2O3_25Wt             | 10             | 8271445      | 782609       | 0.094616      | 0.00034770     | 0.00113039    
59.5            | Bi2O3_30Wt             | 2              | 8271445      | 4628163      | 0.559535      | 0.00034770     | 0.00046483    
59.5            | Bi2O3_30Wt             | 4              | 8271445      | 2591164      | 0.313266      | 0.00034770     | 0.00062123    
59.5            | Bi2O3_30Wt             | 6              | 8271445      | 1450478      | 0.175360      | 0.00034770     | 0.00083032    
59.5            | Bi2O3_30Wt             | 8              | 8271445      | 811670       | 0.098129      | 0.00034770     | 0.00110997    
59.5            | Bi2O3_30Wt             | 10             | 8271445      | 454577       | 0.054957      | 0.00034770     | 0.00148319    
356             | PPS_0Wt                | 2              | 8392067      | 8162006      | 0.972586      | 0.00034520     | 0.00035003    
356             | PPS_0Wt                | 4              | 8392067      | 7937633      | 0.945850      | 0.00034520     | 0.00035494    
356             | PPS_0Wt                | 6              | 8392067      | 7719278      | 0.919830      | 0.00034520     | 0.00035992    
356             | PPS_0Wt                | 8              | 8392067      | 7507668      | 0.894615      | 0.00034520     | 0.00036496    
356             | PPS_0Wt                | 10             | 8392067      | 7302104      | 0.870120      | 0.00034520     | 0.00037006    
356             | G4_Pb                  | 2              | 8392067      | 4452114      | 0.530515      | 0.00034520     | 0.00047393    
356             | G4_Pb                  | 4              | 8392067      | 2361353      | 0.281379      | 0.00034520     | 0.00065076    
356             | G4_Pb                  | 6              | 8392067      | 1253221      | 0.149334      | 0.00034520     | 0.00089328    
356             | G4_Pb                  | 8              | 8392067      | 664426       | 0.079173      | 0.00034520     | 0.00122681    
356             | G4_Pb                  | 10             | 8392067      | 352496       | 0.042003      | 0.00034520     | 0.00168431    
356             | G4_W                   | 2              | 8392067      | 3480778      | 0.414770      | 0.00034520     | 0.00053600    
356             | G4_W                   | 4              | 8392067      | 1444353      | 0.172109      | 0.00034520     | 0.00083208    
356             | G4_W                   | 6              | 8392067      | 599295       | 0.071412      | 0.00034520     | 0.00129175    
356             | G4_W                   | 8              | 8392067      | 248137       | 0.029568      | 0.00034520     | 0.00200749    
356             | G4_W                   | 10             | 8392067      | 103182       | 0.012295      | 0.00034520     | 0.00311314    
356             | Ti3C2O2_5Wt            | 2              | 8392067      | 8153965      | 0.971628      | 0.00034520     | 0.00035020    
356             | Ti3C2O2_5Wt            | 4              | 8392067      | 7921712      | 0.943952      | 0.00034520     | 0.00035530    
356             | Ti3C2O2_5Wt            | 6              | 8392067      | 7696560      | 0.917123      | 0.00034520     | 0.00036046    
356             | Ti3C2O2_5Wt            | 8              | 8392067      | 7478273      | 0.891112      | 0.00034520     | 0.00036568    
356             | Ti3C2O2_5Wt            | 10             | 8392067      | 7266659      | 0.865896      | 0.00034520     | 0.00037096    
356             | Ti3C2O2_10Wt           | 2              | 8392067      | 8145150      | 0.970577      | 0.00034520     | 0.00035039    
356             | Ti3C2O2_10Wt           | 4              | 8392067      | 7905006      | 0.941962      | 0.00034520     | 0.00035567    
356             | Ti3C2O2_10Wt           | 6              | 8392067      | 7672024      | 0.914200      | 0.00034520     | 0.00036103    
356             | Ti3C2O2_10Wt           | 8              | 8392067      | 7446455      | 0.887321      | 0.00034520     | 0.00036646    
356             | Ti3C2O2_10Wt           | 10             | 8392067      | 7228039      | 0.861294      | 0.00034520     | 0.00037195    
356             | Ti3C2O2_15Wt           | 2              | 8392067      | 8135538      | 0.969432      | 0.00034520     | 0.00035060    
356             | Ti3C2O2_15Wt           | 4              | 8392067      | 7886705      | 0.939781      | 0.00034520     | 0.00035608    
356             | Ti3C2O2_15Wt           | 6              | 8392067      | 7645494      | 0.911038      | 0.00034520     | 0.00036166    
356             | Ti3C2O2_15Wt           | 8              | 8392067      | 7412441      | 0.883268      | 0.00034520     | 0.00036730    
356             | Ti3C2O2_15Wt           | 10             | 8392067      | 7186584      | 0.856354      | 0.00034520     | 0.00037303    
356             | Ti3C2O2_20Wt           | 2              | 8392067      | 8125364      | 0.968220      | 0.00034520     | 0.00035082    
356             | Ti3C2O2_20Wt           | 4              | 8392067      | 7866879      | 0.937419      | 0.00034520     | 0.00035653    
356             | Ti3C2O2_20Wt           | 6              | 8392067      | 7616852      | 0.907625      | 0.00034520     | 0.00036234    
356             | Ti3C2O2_20Wt           | 8              | 8392067      | 7375626      | 0.878881      | 0.00034520     | 0.00036821    
356             | Ti3C2O2_20Wt           | 10             | 8392067      | 7141731      | 0.851010      | 0.00034520     | 0.00037420    
356             | Ti3C2O2_25Wt           | 2              | 8392067      | 8114289      | 0.966900      | 0.00034520     | 0.00035105    
356             | Ti3C2O2_25Wt           | 4              | 8392067      | 7845501      | 0.934871      | 0.00034520     | 0.00035702    
356             | Ti3C2O2_25Wt           | 6              | 8392067      | 7585703      | 0.903914      | 0.00034520     | 0.00036308    
356             | Ti3C2O2_25Wt           | 8              | 8392067      | 7335171      | 0.874060      | 0.00034520     | 0.00036923    
356             | Ti3C2O2_25Wt           | 10             | 8392067      | 7092687      | 0.845166      | 0.00034520     | 0.00037549    
356             | Ti3C2O2_30Wt           | 2              | 8392067      | 8102091      | 0.965446      | 0.00034520     | 0.00035132    
356             | Ti3C2O2_30Wt           | 4              | 8392067      | 7821843      | 0.932052      | 0.00034520     | 0.00035756    
356             | Ti3C2O2_30Wt           | 6              | 8392067      | 7551561      | 0.899845      | 0.00034520     | 0.00036390    
356             | Ti3C2O2_30Wt           | 8              | 8392067      | 7291322      | 0.868835      | 0.00034520     | 0.00037034    
356             | Ti3C2O2_30Wt           | 10             | 8392067      | 7039987      | 0.838886      | 0.00034520     | 0.00037689    
356             | Pb_5Wt                 | 2              | 8392067      | 8131251      | 0.968921      | 0.00034520     | 0.00035069    
356             | Pb_5Wt                 | 4              | 8392067      | 7877525      | 0.938687      | 0.00034520     | 0.00035629    
356             | Pb_5Wt                 | 6              | 8392067      | 7632191      | 0.909453      | 0.00034520     | 0.00036197    
356             | Pb_5Wt                 | 8              | 8392067      | 7395265      | 0.881221      | 0.00034520     | 0.00036772    
356             | Pb_5Wt                 | 10             | 8392067      | 7166014      | 0.853903      | 0.00034520     | 0.00037356    
356             | Pb_10Wt                | 2              | 8392067      | 8097574      | 0.964908      | 0.00034520     | 0.00035142    
356             | Pb_10Wt                | 4              | 8392067      | 7812773      | 0.930971      | 0.00034520     | 0.00035776    
356             | Pb_10Wt                | 6              | 8392067      | 7538231      | 0.898257      | 0.00034520     | 0.00036422    
356             | Pb_10Wt                | 8              | 8392067      | 7273664      | 0.866731      | 0.00034520     | 0.00037079    
356             | Pb_10Wt                | 10             | 8392067      | 7019227      | 0.836412      | 0.00034520     | 0.00037745    
356             | Pb_15Wt                | 2              | 8392067      | 8060521      | 0.960493      | 0.00034520     | 0.00035222    
356             | Pb_15Wt                | 4              | 8392067      | 7741969      | 0.922534      | 0.00034520     | 0.00035940    
356             | Pb_15Wt                | 6              | 8392067      | 7435748      | 0.886045      | 0.00034520     | 0.00036672    
356             | Pb_15Wt                | 8              | 8392067      | 7142606      | 0.851114      | 0.00034520     | 0.00037417    
356             | Pb_15Wt                | 10             | 8392067      | 6860793      | 0.817533      | 0.00034520     | 0.00038178    
356             | Pb_20Wt                | 2              | 8392067      | 8019819      | 0.955643      | 0.00034520     | 0.00035312    
356             | Pb_20Wt                | 4              | 8392067      | 7663801      | 0.913220      | 0.00034520     | 0.00036123    
356             | Pb_20Wt                | 6              | 8392067      | 7324092      | 0.872740      | 0.00034520     | 0.00036951    
356             | Pb_20Wt                | 8              | 8392067      | 6999972      | 0.834118      | 0.00034520     | 0.00037797    
356             | Pb_20Wt                | 10             | 8392067      | 6690219      | 0.797208      | 0.00034520     | 0.00038662    
356             | Pb_25Wt                | 2              | 8392067      | 7975203      | 0.950326      | 0.00034520     | 0.00035410    
356             | Pb_25Wt                | 4              | 8392067      | 7578245      | 0.903025      | 0.00034520     | 0.00036326    
356             | Pb_25Wt                | 6              | 8392067      | 7201794      | 0.858167      | 0.00034520     | 0.00037263    
356             | Pb_25Wt                | 8              | 8392067      | 6844426      | 0.815583      | 0.00034520     | 0.00038224    
356             | Pb_25Wt                | 10             | 8392067      | 6504982      | 0.775135      | 0.00034520     | 0.00039208    
356             | Pb_30Wt                | 2              | 8392067      | 7925343      | 0.944385      | 0.00034520     | 0.00035521    
356             | Pb_30Wt                | 4              | 8392067      | 7483660      | 0.891754      | 0.00034520     | 0.00036555    
356             | Pb_30Wt                | 6              | 8392067      | 7067212      | 0.842130      | 0.00034520     | 0.00037616    
356             | Pb_30Wt                | 8              | 8392067      | 6674624      | 0.795349      | 0.00034520     | 0.00038707    
356             | Pb_30Wt                | 10             | 8392067      | 6304087      | 0.751196      | 0.00034520     | 0.00039828    
356             | W_5Wt                  | 2              | 8392067      | 8136745      | 0.969576      | 0.00034520     | 0.00035057    
356             | W_5Wt                  | 4              | 8392067      | 7887840      | 0.939916      | 0.00034520     | 0.00035606    
356             | W_5Wt                  | 6              | 8392067      | 7647135      | 0.911234      | 0.00034520     | 0.00036162    
356             | W_5Wt                  | 8              | 8392067      | 7414307      | 0.883490      | 0.00034520     | 0.00036725    
