Phase 1: Comprehensive Shielding Master Data
Photons Fired per run: 10000000 | Total Runs: 930
===================================================================================================================
Energy (keV)    | Material        | Thickness (mm)  | I_0        | I          | Ratio (I/I_0)   | Abs. Poisson Error
59.5            | W_30Wt          | 10              | 10000000   | 889841     | 0.0889841       | 0.00009433
59.5            | Bi2O3_5Wt       | 2               | 10000000   | 8740571    | 0.874057        | 0.00029564
59.5            | Bi2O3_5Wt       | 4               | 10000000   | 7640700    | 0.76407         | 0.00027642
59.5            | Bi2O3_5Wt       | 6               | 10000000   | 6680263    | 0.668026        | 0.00025846
59.5            | Bi2O3_5Wt       | 8               | 10000000   | 5840857    | 0.584086        | 0.00024168
59.5            | Bi2O3_5Wt       | 10              | 10000000   | 5105566    | 0.510557        | 0.00022595
59.5            | Bi2O3_10Wt      | 2               | 10000000   | 8125566    | 0.812557        | 0.00028505
59.5            | Bi2O3_10Wt      | 4               | 10000000   | 6603388    | 0.660339        | 0.00025697
59.5            | Bi2O3_10Wt      | 6               | 10000000   | 5368000    | 0.5368          | 0.00023169
59.5            | Bi2O3_10Wt      | 8               | 10000000   | 4362741    | 0.436274        | 0.00020887
59.5            | Bi2O3_10Wt      | 10              | 10000000   | 3545972    | 0.354597        | 0.00018831
59.5            | Bi2O3_15Wt      | 2               | 10000000   | 7499178    | 0.749918        | 0.00027385
59.5            | Bi2O3_15Wt      | 4               | 10000000   | 5624733    | 0.562473        | 0.00023717
59.5            | Bi2O3_15Wt      | 6               | 10000000   | 4219758    | 0.421976        | 0.00020542
59.5            | Bi2O3_15Wt      | 8               | 10000000   | 3164676    | 0.316468        | 0.00017790
59.5            | Bi2O3_15Wt      | 10              | 10000000   | 2373630    | 0.237363        | 0.00015407
59.5            | Bi2O3_20Wt      | 2               | 10000000   | 6865704    | 0.68657         | 0.00026202
59.5            | Bi2O3_20Wt      | 4               | 10000000   | 4714544    | 0.471454        | 0.00021713
59.5            | Bi2O3_20Wt      | 6               | 10000000   | 3237539    | 0.323754        | 0.00017993
59.5            | Bi2O3_20Wt      | 8               | 10000000   | 2222972    | 0.222297        | 0.00014910
59.5            | Bi2O3_20Wt      | 10              | 10000000   | 1526416    | 0.152642        | 0.00012355
59.5            | Bi2O3_25Wt      | 2               | 10000000   | 6224775    | 0.622478        | 0.00024949
59.5            | Bi2O3_25Wt      | 4               | 10000000   | 3875656    | 0.387566        | 0.00019687
59.5            | Bi2O3_25Wt      | 6               | 10000000   | 2413524    | 0.241352        | 0.00015536
59.5            | Bi2O3_25Wt      | 8               | 10000000   | 1502642    | 0.150264        | 0.00012258
59.5            | Bi2O3_25Wt      | 10              | 10000000   | 935100     | 0.09351         | 0.00009670
59.5            | Bi2O3_30Wt      | 2               | 10000000   | 5583092    | 0.558309        | 0.00023629
59.5            | Bi2O3_30Wt      | 4               | 10000000   | 3117348    | 0.311735        | 0.00017656
59.5            | Bi2O3_30Wt      | 6               | 10000000   | 1740808    | 0.174081        | 0.00013194
59.5            | Bi2O3_30Wt      | 8               | 10000000   | 971508     | 0.0971508       | 0.00009857
59.5            | Bi2O3_30Wt      | 10              | 10000000   | 542699     | 0.0542699       | 0.00007367
59.5            | Ti3C2O2_5Wt     | 2               | 10000000   | 9275320    | 0.927532        | 0.00030455
59.5            | Ti3C2O2_5Wt     | 4               | 10000000   | 8602756    | 0.860276        | 0.00029330
59.5            | Ti3C2O2_5Wt     | 6               | 10000000   | 7980958    | 0.798096        | 0.00028251
59.5            | Ti3C2O2_5Wt     | 8               | 10000000   | 7403466    | 0.740347        | 0.00027209
59.5            | Ti3C2O2_5Wt     | 10              | 10000000   | 6868313    | 0.686831        | 0.00026207
59.5            | Ti3C2O2_10Wt    | 2               | 10000000   | 9199219    | 0.919922        | 0.00030330
59.5            | Ti3C2O2_10Wt    | 4               | 10000000   | 8461972    | 0.846197        | 0.00029089
59.5            | Ti3C2O2_10Wt    | 6               | 10000000   | 7785494    | 0.778549        | 0.00027902
59.5            | Ti3C2O2_10Wt    | 8               | 10000000   | 7164136    | 0.716414        | 0.00026766
59.5            | Ti3C2O2_10Wt    | 10              | 10000000   | 6590009    | 0.659001        | 0.00025671
59.5            | Ti3C2O2_15Wt    | 2               | 10000000   | 9117068    | 0.911707        | 0.00030194
59.5            | Ti3C2O2_15Wt    | 4               | 10000000   | 8311572    | 0.831157        | 0.00028830
59.5            | Ti3C2O2_15Wt    | 6               | 10000000   | 7579670    | 0.757967        | 0.00027531
59.5            | Ti3C2O2_15Wt    | 8               | 10000000   | 6911069    | 0.691107        | 0.00026289
59.5            | Ti3C2O2_15Wt    | 10              | 10000000   | 6301697    | 0.63017         | 0.00025103
59.5            | Ti3C2O2_20Wt    | 2               | 10000000   | 9028617    | 0.902862        | 0.00030048
59.5            | Ti3C2O2_20Wt    | 4               | 10000000   | 8151578    | 0.815158        | 0.00028551
59.5            | Ti3C2O2_20Wt    | 6               | 10000000   | 7361449    | 0.736145        | 0.00027132
59.5            | Ti3C2O2_20Wt    | 8               | 10000000   | 6646376    | 0.664638        | 0.00025781
59.5            | Ti3C2O2_20Wt    | 10              | 10000000   | 6002208    | 0.600221        | 0.00024499
59.5            | Ti3C2O2_25Wt    | 2               | 10000000   | 8932612    | 0.893261        | 0.00029887
59.5            | Ti3C2O2_25Wt    | 4               | 10000000   | 7980092    | 0.798009        | 0.00028249
59.5            | Ti3C2O2_25Wt    | 6               | 10000000   | 7129822    | 0.712982        | 0.00026702
